name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Kenny Anderson,Atlanta Hawks,ATL,12,PG,6-0,168,"October 9, 1970",us,13,Georgia Institute of Technology,/players/a/anderke01.html
Jon Barry,Atlanta Hawks,ATL,20,SG,6-4,195,"July 25, 1969",us,12,Georgia Institute of Technology,/players/b/barryjo01.html
Josh Childress,Atlanta Hawks,ATL,1,SG,6-8,210,"June 20, 1983",us,R,Stanford University,/players/c/childjo01.html
Jason Collier,Atlanta Hawks,ATL,40,C,7-0,260,"September 8, 1977",us,4,Georgia Institute of Technology,/players/c/collija02.html
Tony Delk,Atlanta Hawks,ATL,00,SG,6-1,189,"January 28, 1974",us,8,University of Kentucky,/players/d/delkto01.html
Boris Diaw,Atlanta Hawks,ATL,13,SG,6-8,250,"April 16, 1982",fr,1,,/players/d/diawbo01.html
Predrag Drobnjak,Atlanta Hawks,ATL,14,C,6-11,270,"October 27, 1975",me,3,,/players/d/drobnpr01.html
Obinna Ekezie,Atlanta Hawks,ATL,54,C,6-9,270,"August 22, 1975",ng,3,University of Maryland,/players/e/ekeziob01.html
Tom Gugliotta,Atlanta Hawks,ATL,7,PF,6-10,240,"December 19, 1969",us,12,North Carolina State University,/players/g/guglito01.html
Al Harrington,Atlanta Hawks,ATL,3,SF,6-9,230,"February 17, 1980",us,6,,/players/h/harrial01.html
Royal Ivey,Atlanta Hawks,ATL,36,PG,6-3,200,"December 20, 1981",us,R,University of Texas at Austin,/players/i/iveyro01.html
Tyronn Lue,Atlanta Hawks,ATL,10,PG,6-0,175,"May 3, 1977",us,6,University of Nebraska,/players/l/luety01.html
Jelani McCoy,Atlanta Hawks,ATL,34,C,6-10,245,"December 6, 1977",us,6,"University of California, Los Angeles",/players/m/mccoyje01.html
Anthony Miller,Atlanta Hawks,ATL,2,PF,6-9,225,"October 22, 1971",us,7,Michigan State University,/players/m/millean01.html
Donta Smith,Atlanta Hawks,ATL,15,SG,6-7,215,"November 27, 1983",us,R,Southeastern Illinois College,/players/s/smithdo04.html
Josh Smith,Atlanta Hawks,ATL,5,SF,6-9,225,"December 5, 1985",us,R,,/players/s/smithjo03.html
Michael Stewart,Atlanta Hawks,ATL,44,PF,6-10,230,"April 25, 1975",fr,7,University of California,/players/s/stewami01.html
James Thomas,Atlanta Hawks,ATL,6,PF,6-8,235,"November 22, 1980",us,R,University of Texas at Austin,/players/t/thomaja02.html
Antoine Walker,Atlanta Hawks,ATL,8,PF,6-8,224,"August 12, 1976",us,8,University of Kentucky,/players/w/walkean02.html
Kevin Willis,Atlanta Hawks,ATL,42,C,7-0,220,"September 6, 1962",us,19,Michigan State University,/players/w/willike02.html
Tony Allen,Boston Celtics,BOS,42,SG,6-4,213,"January 11, 1982",us,R,Oklahoma State University,/players/a/allento01.html
Marcus Banks,Boston Celtics,BOS,11,PG,6-2,200,"November 19, 1981",us,1,"University of Nevada, Las Vegas",/players/b/banksma01.html
Mark Blount,Boston Celtics,BOS,30,C,7-0,230,"November 30, 1975",us,4,University of Pittsburgh,/players/b/blounma01.html
Ricky Davis,Boston Celtics,BOS,12,SG,6-6,195,"September 23, 1979",us,6,University of Iowa,/players/d/davisri01.html
Tom Gugliotta,Boston Celtics,BOS,7,PF,6-10,240,"December 19, 1969",us,12,North Carolina State University,/players/g/guglito01.html
Al Jefferson,Boston Celtics,BOS,7-8,PF,6-10,289,"January 4, 1985",us,R,,/players/j/jeffeal01.html
Raef LaFrentz,Boston Celtics,BOS,45,PF,6-11,240,"May 29, 1976",us,6,University of Kansas,/players/l/lafrera01.html
Walter McCarty,Boston Celtics,BOS,0,PF,6-10,230,"February 1, 1974",us,8,University of Kentucky,/players/m/mccarwa01.html
Gary Payton,Boston Celtics,BOS,20,PG,6-4,180,"July 23, 1968",us,14,Oregon State University,/players/p/paytoga01.html
Kendrick Perkins,Boston Celtics,BOS,43,C,6-10,270,"November 10, 1984",us,1,,/players/p/perkike01.html
Paul Pierce,Boston Celtics,BOS,34,SF,6-7,235,"October 13, 1977",us,6,University of Kansas,/players/p/piercpa01.html
Justin Reed,Boston Celtics,BOS,9,SF,6-8,240,"January 16, 1982",us,R,University of Mississippi,/players/r/reedju01.html
Antoine Walker,Boston Celtics,BOS,88,PF,6-8,224,"August 12, 1976",us,8,University of Kentucky,/players/w/walkean02.html
Jiri Welsch,Boston Celtics,BOS,44,SG,6-7,208,"January 27, 1980",cz,2,,/players/w/welscji01.html
Delonte West,Boston Celtics,BOS,13,SG,6-4,180,"July 26, 1983",us,R,Saint Joseph's University,/players/w/westde01.html
Travis Best,Brooklyn Nets,NJN,6,PG,5-11,182,"July 12, 1972",us,9,Georgia Institute of Technology,/players/b/besttr01.html
Rodney Buford,Brooklyn Nets,NJN,2,SF,6-5,189,"November 2, 1977",us,4,Creighton University,/players/b/buforro01.html
