name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Esteban Batista,Atlanta Hawks,ATL,11,PF,6-10,270,"September 2, 1983",uy,R,,/players/b/batises01.html
Josh Childress,Atlanta Hawks,ATL,1,SF,6-8,210,"June 20, 1983",us,1,Stanford University,/players/c/childjo01.html
Tony Delk,Atlanta Hawks,ATL,00,SG,6-1,189,"January 28, 1974",us,9,University of Kentucky,/players/d/delkto01.html
John Edwards,Atlanta Hawks,ATL,54,C,7-0,275,"July 31, 1981",us,1,Kent State University,/players/e/edwarjo01.html
Anthony Grundy,Atlanta Hawks,ATL,16,SG,6-3,180,"April 15, 1979",us,R,North Carolina State University,/players/g/grundan01.html
Al Harrington,Atlanta Hawks,ATL,3,PF,6-9,230,"February 17, 1980",us,7,,/players/h/harrial01.html
Royal Ivey,Atlanta Hawks,ATL,36,PG,6-3,200,"December 20, 1981",us,1,University of Texas at Austin,/players/i/iveyro01.html
Joe Johnson,Atlanta Hawks,ATL,2,SG,6-7,240,"June 29, 1981",us,4,University of Arkansas,/players/j/johnsjo02.html
Tyronn Lue,Atlanta Hawks,ATL,10,PG,6-0,175,"May 3, 1977",us,7,University of Nebraska,/players/l/luety01.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,2,,/players/p/pachuza01.html
Donta Smith,Atlanta Hawks,ATL,15,SG,6-7,215,"November 27, 1983",us,1,Southeastern Illinois College,/players/s/smithdo04.html
Josh Smith,Atlanta Hawks,ATL,5,SF,6-9,225,"December 5, 1985",us,1,,/players/s/smithjo03.html
Salim Stoudamire,Atlanta Hawks,ATL,20,SG,6-1,179,"October 11, 1982",us,R,University of Arizona,/players/s/stoudsa01.html
John Thomas,Atlanta Hawks,ATL,12,C,6-9,265,"September 8, 1975",us,4,University of Minnesota,/players/t/thomajo02.html
Marvin Williams,Atlanta Hawks,ATL,24,PF,6-9,237,"June 19, 1986",us,R,University of North Carolina,/players/w/willima02.html
Tony Allen,Boston Celtics,BOS,42,PG,6-4,213,"January 11, 1982",us,1,Oklahoma State University,/players/a/allento01.html
Marcus Banks,Boston Celtics,BOS,11,PG,6-2,200,"November 19, 1981",us,2,"University of Nevada, Las Vegas",/players/b/banksma01.html
Mark Blount,Boston Celtics,BOS,30,C,7-0,230,"November 30, 1975",us,5,University of Pittsburgh,/players/b/blounma01.html
