name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Mike Bibby,Atlanta Hawks,ATL,10,PG,6-1,190,"May 13, 1978",us,9,University of Arizona,/players/b/bibbymi01.html
Josh Childress,Atlanta Hawks,ATL,1,SF,6-8,210,"June 20, 1983",us,3,Stanford University,/players/c/childjo01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,R,University of Florida,/players/h/horfoal01.html
Anthony Johnson,Atlanta Hawks,ATL,8,PG,6-3,190,"October 2, 1974",us,10,College of Charleston,/players/j/johnsan02.html
Joe Johnson,Atlanta Hawks,ATL,2,SG,6-7,240,"June 29, 1981",us,6,University of Arkansas,/players/j/johnsjo02.html
Solomon Jones,Atlanta Hawks,ATL,44,PF,6-10,230,"July 16, 1984",us,1,University of South Florida,/players/j/jonesso01.html
Acie Law,Atlanta Hawks,ATL,4,PG,6-3,195,"January 25, 1985",us,R,Texas A&M University,/players/l/lawac01.html
Tyronn Lue,Atlanta Hawks,ATL,10,PG,6-0,175,"May 3, 1977",us,9,University of Nebraska,/players/l/luety01.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,4,,/players/p/pachuza01.html
Jeremy Richardson,Atlanta Hawks,ATL,32,SF,6-6,185,"February 11, 1984",us,1,Delta State University,/players/r/richaje01.html
Josh Smith,Atlanta Hawks,ATL,5,PF,6-9,225,"December 5, 1985",us,3,,/players/s/smithjo03.html
Salim Stoudamire,Atlanta Hawks,ATL,20,PG,6-1,179,"October 11, 1982",us,2,University of Arizona,/players/s/stoudsa01.html
Mario West,Atlanta Hawks,ATL,6,SG,6-5,210,"June 19, 1984",us,R,Georgia Institute of Technology,/players/w/westma02.html
Marvin Williams,Atlanta Hawks,ATL,24,SF,6-9,237,"June 19, 1986",us,2,University of North Carolina,/players/w/willima02.html
Shelden Williams,Atlanta Hawks,ATL,33,PF,6-9,250,"October 21, 1983",us,1,Duke University,/players/w/willish02.html
Lorenzen Wright,Atlanta Hawks,ATL,42,C,6-11,225,"November 4, 1975",us,11,University of Memphis,/players/w/wrighlo02.html
Ray Allen,Boston Celtics,BOS,20,SG,6-5,205,"July 20, 1975",us,11,University of Connecticut,/players/a/allenra02.html
Tony Allen,Boston Celtics,BOS,42,SG,6-4,213,"January 11, 1982",us,3,Oklahoma State University,/players/a/allento01.html
P.J. Brown,Boston Celtics,BOS,93,PF,6-11,225,"October 14, 1969",us,14,Louisiana Tech University,/players/b/brownpj01.html
Sam Cassell,Boston Celtics,BOS,28,PG,6-3,185,"November 18, 1969",us,14,Florida State University,/players/c/cassesa01.html
Glen Davis,Boston Celtics,BOS,11,C,6-9,289,"January 1, 1986",us,R,Louisiana State University,/players/d/davisgl01.html
Kevin Garnett,Boston Celtics,BOS,5,PF,6-11,240,"May 19, 1976",us,12,,/players/g/garneke01.html
Eddie House,Boston Celtics,BOS,50,PG,6-1,180,"May 14, 1978",us,7,Arizona State University,/players/h/houseed01.html
Kendrick Perkins,Boston Celtics,BOS,43,C,6-10,270,"November 10, 1984",us,4,,/players/p/perkike01.html
Paul Pierce,Boston Celtics,BOS,34,SF,6-7,235,"October 13, 1977",us,9,University of Kansas,/players/p/piercpa01.html
Scot Pollard,Boston Celtics,BOS,66,C,6-11,265,"February 12, 1975",us,10,University of Kansas,/players/p/pollasc01.html
James Posey,Boston Celtics,BOS,41,PF,6-8,215,"January 13, 1977",us,8,Xavier University,/players/p/poseyja01.html
Leon Powe,Boston Celtics,BOS,0,C,6-8,240,"January 22, 1984",us,1,University of California,/players/p/powele01.html
Gabe Pruitt,Boston Celtics,BOS,13,PG,6-4,170,"April 19, 1986",us,R,University of Southern California,/players/p/pruitga01.html
Rajon Rondo,Boston Celtics,BOS,9,PG,6-1,186,"February 22, 1986",us,1,University of Kentucky,/players/r/rondora01.html
Brian Scalabrine,Boston Celtics,BOS,44,PF,6-9,241,"March 18, 1978",us,6,University of Southern California,/players/s/scalabr01.html
Maurice Ager,Brooklyn Nets,NJN,13,SG,6-5,202,"February 9, 1984",us,1,Michigan State University,/players/a/agerma01.html
Malik Allen,Brooklyn Nets,NJN,30,PF,6-10,255,"June 27, 1978",us,6,Villanova University,/players/a/allenma01.html
