name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Esteban Batista,Atlanta Hawks,ATL,11,PF,6-10,270,"September 2, 1983",uy,1,,/players/b/batises01.html
Cedric Bozeman,Atlanta Hawks,ATL,6,SG,6-6,207,"March 7, 1983",us,R,"University of California, Los Angeles",/players/b/bozemce01.html
Josh Childress,Atlanta Hawks,ATL,1,SG,6-8,210,"June 20, 1983",us,2,Stanford University,/players/c/childjo01.html
Speedy Claxton,Atlanta Hawks,ATL,12,PG,5-11,166,"May 8, 1978",us,5,Hofstra University,/players/c/claxtsp01.html
Matt Freije,Atlanta Hawks,ATL,4,PF,6-10,240,"October 2, 1981",us,1,Vanderbilt University,/players/f/freijma01.html
Royal Ivey,Atlanta Hawks,ATL,36,PG,6-3,200,"December 20, 1981",us,2,University of Texas at Austin,/players/i/iveyro01.html
Anthony Johnson,Atlanta Hawks,ATL,8,PG,6-3,190,"October 2, 1974",us,9,College of Charleston,/players/j/johnsan02.html
Joe Johnson,Atlanta Hawks,ATL,2,SG,6-7,240,"June 29, 1981",us,5,University of Arkansas,/players/j/johnsjo02.html
Solomon Jones,Atlanta Hawks,ATL,44,PF,6-10,230,"July 16, 1984",us,R,University of South Florida,/players/j/jonesso01.html
Tyronn Lue,Atlanta Hawks,ATL,10,PG,6-0,175,"May 3, 1977",us,8,University of Nebraska,/players/l/luety01.html
Stanislav Medvedenko,Atlanta Hawks,ATL,14,C,6-10,250,"April 4, 1979",ua,6,,/players/m/medvest01.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,3,,/players/p/pachuza01.html
Jeremy Richardson,Atlanta Hawks,ATL,32,SG,6-6,185,"February 11, 1984",us,R,Delta State University,/players/r/richaje01.html
Josh Smith,Atlanta Hawks,ATL,5,SF,6-9,225,"December 5, 1985",us,2,,/players/s/smithjo03.html
Salim Stoudamire,Atlanta Hawks,ATL,20,SG,6-1,179,"October 11, 1982",us,1,University of Arizona,/players/s/stoudsa01.html
Dijon Thompson,Atlanta Hawks,ATL,7,SF,6-7,195,"February 23, 1983",us,1,"University of California, Los Angeles",/players/t/thompdi01.html
Marvin Williams,Atlanta Hawks,ATL,24,PF,6-9,237,"June 19, 1986",us,1,University of North Carolina,/players/w/willima02.html
Shelden Williams,Atlanta Hawks,ATL,33,PF,6-9,250,"October 21, 1983",us,R,Duke University,/players/w/willish02.html
Lorenzen Wright,Atlanta Hawks,ATL,42,C,6-11,225,"November 4, 1975",us,10,University of Memphis,/players/w/wrighlo02.html
Tony Allen,Boston Celtics,BOS,42,SG,6-4,213,"January 11, 1982",us,2,Oklahoma State University,/players/a/allento01.html
Ryan Gomes,Boston Celtics,BOS,4,PF,6-7,250,"September 1, 1982",us,1,Providence College,/players/g/gomesry01.html
Gerald Green,Boston Celtics,BOS,5,SF,6-7,205,"January 26, 1986",us,1,,/players/g/greenge01.html
Al Jefferson,Boston Celtics,BOS,7,C,6-10,289,"January 4, 1985",us,2,,/players/j/jeffeal01.html
Michael Olowokandi,Boston Celtics,BOS,41,C,7-0,269,"April 3, 1975",ng,8,University of the Pacific,/players/o/olowomi01.html
